model,client,horizon,rmse,mae,mean_actual,nmae,nrmse
iTransformer,317,24,37.0862,26.9274,45.041666666666664,0.5978331174838113,0.8233753931544866
iTransformer,317,48,32.913,23.6831,39.375,0.6014755555555555,0.8358857142857142
iTransformer,317,168,31.2232,23.3282,42.642857142857146,0.5470599664991624,0.7322023450586264
iTransformer,240,24,70.0506,48.2649,966.75,0.049924903025601236,0.0724598913886734
iTransformer,240,48,65.6772,46.7624,969.9375,0.04821176622205039,0.06771281654745795
iTransformer,240,168,68.3584,53.4015,990.9107142857143,0.053891333729794016,0.068985428267647
iTransformer,26,24,33.9012,29.5472,289.5833333333333,0.1020334964028777,0.11706889208633095
iTransformer,26,48,42.7549,31.8388,299.625,0.10626216103462661,0.1426947017104714
iTransformer,26,168,40.5597,32.5079,302.7261904761905,0.10738383735105587,0.13398146997522514
iTransformer,203,24,37.8764,31.4462,737.2916666666666,0.04265096354902515,0.05137234246962419
iTransformer,203,48,39.4561,29.5222,739.875,0.03990160500084474,0.0533280621726643
iTransformer,203,168,59.585,44.878,764.1607142857143,0.05872848363050031,0.07797443507115649
iTransformer,134,24,89.2785,69.2886,380.2083333333333,0.18223850958904111,0.23481468493150684
iTransformer,134,48,95.2918,75.8979,382.25,0.19855565729234795,0.24929182472204053
iTransformer,134,168,136.5173,97.7641,318.80357142857144,0.30665936257211673,0.42821759928303366
iTransformer,133,24,717.6473,625.0533,10882.916666666666,0.05743435506719247,0.06594255216509055
iTransformer,133,48,674.0912,558.9492,10897.291666666666,0.051292487812338694,0.06185859942263942
iTransformer,133,168,1367.2374,981.0521,10532.994047619048,0.09314085772428249,0.12980520009968674
iTransformer,220,24,45.2212,39.7532,643.375,0.061788537011851566,0.07028746842821061
iTransformer,220,48,46.6694,39.7236,650.0208333333334,0.061111272074612984,0.07179677574436717
iTransformer,220,168,62.6884,50.3123,677.3988095238095,0.07427279069971794,0.09254282576030509
iTransformer,29,24,45.1383,38.6762,181.33333333333334,0.21328786764705882,0.24892444852941176
iTransformer,29,48,70.6228,56.1842,202.95833333333334,0.27682627797166903,0.3479669882980907
